Video,action,Context
P03_cam01,cereals,In the begining of the video there is a man in a black hoodie. A laptop on the table behind the man.  A coffee maker & knife block with knives is on the brown colour kitchen counter. A frying pan is on the stovetop. A laptop is on the table behind the man. Single light under the top kitchen counter. Some clothes on the door knob. many bottles and containers on the back shelf on the wall. A girl in a blue checkered shirt is behind the man leaning on the laptop. the girl left the kitchen. Oats in a plastic bag on the counter. The oats bag was removed from the counter. Small bowl with a spoon on the kitchen counter.  The camera is on the left side on the counter top.
P03_cam01,tea,"At the beginning of the video, there is a man in a black hoodie. A laptop is on the table behind the man.  A knife block with knives, and a blue electric kettle is on the brown color kitchen counter.  A laptop is on the table behind the man. Single light under the top kitchen counter. Some clothes on the door knob. A white fridge behind the man. Many bottles and containers are on the back shelf on the wall. A girl in a blue checkered shirt is behind the man leaning on the laptop. The girl left the kitchen. A black and white mug appear on the countertop latter in the video. Girl re-entered in the kitchen & works on the laptop. Camera is on the left side countertop."
P03_cam01,salat,"At the beginning of the video, there is a man in a black hoodie. A laptop is on the table behind the man.  A knife block with knives, and a blue electric kettle is on the brown color kitchen counter.  A laptop is on the table behind the man. Single light under the top kitchen counter. Some clothes on the door knob. A white fridge behind the man. Many bottles and containers are on the back shelf on the wall. A girl in a blue checkered shirt is behind the man leaning on the laptop. The girl left the kitchen. A black and white mug appear on the countertop latter in the video. Girl re-entered in the kitchen & works on the laptop. Camera is on the left side countertop."
P03_cam01,sandwich,"In the begining of the video, there is a man in a black hoodie. A laptop on table behind the man.  A coffe kettle , black plate & knife block with knives is on brown colour kitchen counter. A frying pan is on stovetop. A laptop on table behind the man. Single light under the top kitchen counter. Some cloths on the door knob. a white fridge behind the man. Many bottlles and containers on the back shelf on the wall. A girl in blue checkered shirt is behind the man working on the laptop. The girl left the kitchen. milk carton appeared on the countertop. Girl rentered in the kitchen. camer is on leftside conter top."
P03_cam01,friedegg,"In the begining of the video, there is a man in a black hoodie. A laptop on table behind the man.  A coffe kettle , black plate & knife block with knives is on brown colour kitchen counter. A frying pan is on stovetop. A laptop on table behind the man. Single light under the top kitchen counter. Some cloths on the door knob. a white fridge behind the man. Many bottlles and containers on the back shelf on the wall. A girl in blue checkered shirt is behind the man working on the laptop. The girl left the kitchen. milk carton appeared on the countertop. Girl rentered in the kitchen. camer is on leftside conter top."
P03_cam01,coffee,In the begining of the video there is a man in a black hoddie.A laptop on table behind the man.  A coffe kettle & knife block with knives is on brown colour kitchen counter. A frying pan is on stove top. A laptop on table behind the man. Single light under the top kitchen counter. Some cloths on the door knob. a white fridge behind the man. Many bottlles and containers on the back shelf on the wall. A girl in blue checkered shirt is behind the man working on the laptop. The girl left the kitchen. Girl rentered in the kitchen. A white cup appears on the counter in later part of the video. Camera on the left side of counter top. Girl rentered in the kitchen.
P03_cam01,milk,"At the beginning of the video, there is a man in a black hoodie. A laptop is on the table behind the man.  A coffee maker & knife block with knives is on the brown color kitchen counter. A frying pan is on the stovetop. A laptop is on the table behind the man. Single light under the top kitchen counter. Some clothes on the door knob. A white fridge behind the man. Many bottles and containers are on the back shelf on the wall. A girl in a blue checkered shirt is behind the man working on the laptop. The girl left the kitchen. A white cup appears on the counter in the later part of the video. Girl re-entered in the kitchen Camera is on the left side countertop."
P03_stereo,milk_ch1,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkeredshirt is behind the man.Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A box is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A mug appears on the countertop. Camera is on the right side of the countertop behind the tap."
P03_stereo,tea_ch1,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A black electric kettle is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A black & white stip mug appears on the countertop. Camera is on the right side of the countertop behind the tap."
P03_stereo,tea_ch0,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A black electric kettle is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A black & white stip mug appears on the countertop. Camera is on the right side of the countertop."
P03_stereo,sandwich_ch1,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A plate is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A butter knife appears on the countertop. Camera is on the right side of the countertop behind the tap."
P03_stereo,sandwich_ch0,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A plate is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A butter knife appears on the countertop. Camera is on the right side of the countertop."
P03_stereo,cereals_ch1,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man.  Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A juice box is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A bowl and cereal in a plastic bag appear later in the video. Camera is on the right side of the countertop behind the tap."
